LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1759437221.672622,156966,22695,1,TL,1,100,2025-10-02_16-33-41-667622
1759437235.847427,171140,24946,1,TL,1,100,2025-10-02_16-33-50-866136
1759437235.857428,171150,24949,1,TL,1,100,2025-10-02_16-33-55-853884
1759437263.322987,198614,29320,1,TL,1,100,2025-10-02_16-34-23-314838
1759437268.412276,203703,30138,1,TL,1,100,2025-10-02_16-34-23-395004
1759437268.429277,203720,30141,1,TL,1,100,2025-10-02_16-34-28-423777
