156928,22678,1,RB,1,100,2025-10-02_16-33-41-332668
156930,22679,4,EM,1,100,RS,RB,2025-10-02_16-33-41-332668.csv,PS,MN
156924,22680,1,PI,1,100,163233
156924,22681,1,PR,1,100,132998
156924,22682,1,PG,1,100,10792
156922,22683,1,EA,1,100,0.040087
156922,22684,1,EL,1,100,15057.200195
156924,22685,1,AX,1,100,0.115
156924,22686,1,AY,1,100,-0.634
156924,22687,1,AZ,1,100,0.766
156924,22688,1,GX,1,100,-0.641
156924,22689,1,GY,1,100,0.031
156924,22690,1,GZ,1,100,-0.549
156924,22691,1,MX,1,100,26
156924,22692,1,MY,1,100,-16
156924,22693,1,MZ,1,100,-15
156956,22694,2,RD,1,100,TL,TU
156966,22695,1,TL,1,100,2025-10-02_16-33-41-667622
156967,22696,2,AK,1,100,22694,RD
156964,22697,1,BI,1,100,5200
156964,22698,1,HR,1,100,45.61
156989,22699,1,SF,1,100,95.0429
157004,22700,2,PI,1,100,163213,163229
157004,22701,2,PR,1,100,132996,133014
157004,22702,2,PG,1,100,10795,10803
156989,22703,1,EA,1,100,0.040095
156989,22704,1,EL,1,100,15050.799805
157004,22705,2,AX,1,100,0.123,0.118
157004,22706,2,AY,1,100,-0.641,-0.632
157004,22707,2,AZ,1,100,0.768,0.768
157004,22708,2,GX,1,100,-0.580,-0.397
157004,22709,2,GY,1,100,-0.885,-1.068
157004,22710,2,GZ,1,100,-0.427,-0.275
157004,22711,2,MX,1,100,26,27
157004,22712,2,MY,1,100,-15,-16
157004,22713,2,MZ,1,100,-17,-17
156955,22714,1,BV,1,100,3.85
156955,22715,1,B%,1,100,68
157130,22716,4,EM,1,100,RS,RB,2025-10-02_16-33-41-332668.csv,PS,MN
156656,22717,1,SA,1,100,0.000063
156656,22718,1,SR,1,100,0.333333
157124,22719,3,PI,1,100,163235,163242,163214
157124,22720,3,PR,1,100,133015,133005,133011
157124,22721,3,PG,1,100,10796,10801,10811
157122,22722,2,EA,1,100,0.040101,0.040105
157122,22723,2,EL,1,100,15045.799805,15042.000000
157049,22724,1,T1,1,100,33.355
157124,22725,3,AX,1,100,0.115,0.119,0.113
157124,22726,3,AY,1,100,-0.643,-0.634,-0.642
157124,22727,3,AZ,1,100,0.768,0.766,0.765
157124,22728,3,GX,1,100,-0.824,-0.580,-0.549
157124,22729,3,GY,1,100,-0.092,-0.580,-0.793
157124,22730,3,GZ,1,100,-0.336,-0.336,-0.366
157124,22731,3,MX,1,100,27,27,28
157124,22732,3,MY,1,100,-15,-15,-15
157124,22733,3,MZ,1,100,-17,-16,-15
157204,22734,2,PI,1,100,163245,163237
157204,22735,2,PR,1,100,133015,133019
157204,22736,2,PG,1,100,10804,10798
157189,22737,1,EA,1,100,0.040116
157189,22738,1,EL,1,100,15032.799805
157182,22739,1,T1,1,100,33.260
157204,22740,2,AX,1,100,0.118,0.122
157204,22741,2,AY,1,100,-0.636,-0.638
157204,22742,2,AZ,1,100,0.769,0.768
157204,22743,2,GX,1,100,-0.458,-0.275
157204,22744,2,GY,1,100,-0.610,-1.099
157204,22745,2,GZ,1,100,-0.702,-0.641
157204,22746,2,MX,1,100,27,26
157204,22747,2,MY,1,100,-15,-15
157204,22748,2,MZ,1,100,-17,-15
157331,22749,4,EM,1,100,RS,RB,2025-10-02_16-33-41-332668.csv,PS,MN
157322,22750,1,SF,1,100,96.0257
157337,22751,3,PI,1,100,163244,163251,163264
157337,22752,3,PR,1,100,133011,133020,133005
157337,22753,3,PG,1,100,10797,10810,10814
157322,22754,2,EA,1,100,0.040126,0.040134
157322,22755,2,EL,1,100,15024.200195,15016.599609
157316,22756,1,T1,1,100,33.325
157337,22757,3,AX,1,100,0.117,0.114,0.128
157337,22758,3,AY,1,100,-0.629,-0.639,-0.637
157337,22759,3,AZ,1,100,0.768,0.770,0.763
157337,22760,3,GX,1,100,-0.549,-0.702,-0.336
157337,22761,3,GY,1,100,-0.977,-0.610,-1.251
157337,22762,3,GZ,1,100,-0.549,-0.763,-0.519
157337,22763,3,MX,1,100,27,27,26
157337,22764,3,MY,1,100,-16,-16,-15
157337,22765,3,MZ,1,100,-17,-15,-15
157417,22766,2,PI,1,100,163262,163270
157417,22767,2,PR,1,100,133029,133029
157417,22768,2,PG,1,100,10794,10808
157389,22769,1,EA,1,100,0.040145
157389,22770,1,EL,1,100,15007.200195
157417,22771,2,AX,1,100,0.113,0.122
157417,22772,2,AY,1,100,-0.637,-0.637
157417,22773,2,AZ,1,100,0.768,0.766
157417,22774,2,GX,1,100,-0.244,-0.702
157417,22775,2,GY,1,100,-0.183,-0.824
157417,22776,2,GZ,1,100,-0.336,-0.916
157417,22777,2,MX,1,100,28,26
157417,22778,2,MY,1,100,-16,-16
157417,22779,2,MZ,1,100,-16,-15
157532,22780,4,EM,1,100,RS,RB,2025-10-02_16-33-41-332668.csv,PS,MN
157537,22781,3,PI,1,100,163259,163238,163227
157537,22782,3,PR,1,100,133015,133044,133018
157537,22783,3,PG,1,100,10798,10783,10787
157522,22784,2,EA,1,100,0.040155,0.040166
157522,22785,2,EL,1,100,14999.000000,14989.599609
157449,22786,1,T1,1,100,33.353
157537,22787,3,AX,1,100,0.126,0.113,0.122
157537,22788,3,AY,1,100,-0.635,-0.638,-0.634
157537,22789,3,AZ,1,100,0.768,0.763,0.769
157537,22790,3,GX,1,100,-0.061,-0.702,-0.763
157537,22791,3,GY,1,100,-2.136,0.031,-0.916
157537,22792,3,GZ,1,100,-0.549,-0.366,-0.702
157537,22793,3,MX,1,100,26,27,27
157537,22794,3,MY,1,100,-16,-16,-16
157537,22795,3,MZ,1,100,-15,-16,-15
157580,22796,0,ED,1,100,
157617,22797,2,PI,1,100,163234,163229
157617,22798,2,PR,1,100,133022,133022
157617,22799,2,PG,1,100,10772,10771
157589,22800,1,EA,1,100,0.040176
157589,22801,1,EL,1,100,14981.000000
157582,22802,1,T1,1,100,33.401
157617,22803,2,AX,1,100,0.126,0.104
157617,22804,2,AY,1,100,-0.636,-0.635
157617,22805,2,AZ,1,100,0.769,0.765
157617,22806,2,GX,1,100,-0.427,-0.916
157617,22807,2,GY,1,100,-1.831,0.305
157617,22808,2,GZ,1,100,-0.305,-0.366
157617,22809,2,MX,1,100,26,27
157617,22810,2,MY,1,100,-15,-16
157617,22811,2,MZ,1,100,-16,-15
157733,22812,4,EM,1,100,RS,RB,2025-10-02_16-33-41-332668.csv,PS,MN
157722,22813,1,SF,1,100,94.9149
157737,22814,3,PI,1,100,163211,163233,163248
157737,22815,3,PR,1,100,133024,133015,133020
157737,22816,3,PG,1,100,10764,10771,10773
157722,22817,2,EA,1,100,0.040191,0.040201
157722,22818,2,EL,1,100,14968.400391,14959.400391
157715,22819,1,T1,1,100,33.493
157737,22820,3,AX,1,100,0.125,0.129,0.110
157737,22821,3,AY,1,100,-0.636,-0.633,-0.638
157737,22822,3,AZ,1,100,0.771,0.767,0.767
157737,22823,3,GX,1,100,-0.854,-0.122,-1.160
157737,22824,3,GY,1,100,-1.068,-2.136,0.427
157737,22825,3,GZ,1,100,-0.977,-0.458,-0.641
157737,22826,3,MX,1,100,27,27,26
157737,22827,3,MY,1,100,-15,-16,-15
157737,22828,3,MZ,1,100,-16,-15,-15
157817,22829,1,BI,1,100,840
157817,22830,1,HR,1,100,51.34
