time,ibi_s,hr_bpm
63013.24935275018,0.8087331285423716,74.19011028785431
63014.13895919159,0.8896064414075227,67.44555480631284
63014.95780148424,0.8188422926541534,73.27418299990231
63015.70587962815,0.7480781439080602,80.20552463483558
63016.62581356187,0.9199339337210404,65.22207497804328
63017.53563833149,0.9098247696165345,65.94676469985347
63018.425244772894,0.8896064414075227,67.44555480631284
63019.30474205019,0.8794972772957408,68.22079106883275
63020.265112640336,0.96037059014634,62.47588234751887
63021.16482824585,0.8997156055120286,66.68773958394772
63022.044325523144,0.8794972772957408,68.22079106883275
63022.84294948759,0.7986239644451416,75.12922560705536
63023.66179178024,0.8188422926541534,73.27418299990231
63024.43008825236,0.768296472117072,78.09485293439859
63025.20849388859,0.7784056362288538,77.08063406462772
63026.05766367357,0.8491697849822231,70.6572478921351
63026.91694262265,0.859278949079453,69.82598615301598
63027.83687655637,0.9199339337210404,65.22207497804328
63028.70626466956,0.8693881131912349,69.01405608107515
63029.56554361864,0.859278949079453,69.82598615301598
63030.39449507541,0.8289514567659353,72.38059540191114
63031.21333736806,0.8188422926541534,73.27418299990231
63032.07261631714,0.859278949079453,69.82598615301598
63032.830803625155,0.7581873080125661,79.13611763995075
63033.50811762032,0.6773139951619669,88.5852063128448
63034.256195764225,0.7480781439080602,80.20552463483558
63035.00427390813,0.7480781439080602,80.20552463483558
63035.74224288793,0.7379689797962783,81.30423045229277
63036.571194344695,0.8289514567659353,72.38059540191114
63037.41025496556,0.8390606208631652,71.50854003644733
63038.269533914645,0.859278949086729,69.82598615242472
63039.108594535515,0.8390606208704412,71.50854003582724
63039.967873484595,0.859278949079453,69.82598615301598
63040.76649744903,0.7986239644378657,75.12922560773983
63041.55501224937,0.7885148003406357,76.09242080691473
63042.34352704971,0.7885148003333597,76.09242080761686
63043.16236934236,0.8188422926541534,73.27418299990231
63044.02164829144,0.859278949079453,69.82598615301598
63044.901145568736,0.8794972772957408,68.22079106883275
63045.81097033835,0.9098247696165345,65.94676469985347
63046.75112260029,0.9401522619373281,63.81944970951916
63047.600292385265,0.8491697849749471,70.65724789274051
63048.550553811314,0.95026142604911,63.14051939313295
63049.470487745035,0.9199339337210404,65.22207497804328
63050.34998502233,0.8794972772957408,68.22079106883275
63050.946425704635,0.5964406823040918,100.59675971165454
63051.927014623005,0.9805889183699037,61.187719824268335
63052.675092766905,0.7480781439007842,80.20552463561569
63053.453498403134,0.7784056362288538,77.08063406462772
63054.26223153168,0.8087331285423716,74.19011028785431
63055.15183797309,0.8896064414147986,67.4455548057612
63056.0616627427,0.9098247696092585,65.94676470038087
63056.95126918411,0.8896064414075227,67.44555480631284
63057.85098478962,0.8997156055120286,66.68773958394772
63058.77091872334,0.9199339337210404,65.22207497804328
63059.65041600064,0.8794972772957408,68.22079106883275
63060.48947662151,0.8390606208704412,71.50854003582724
63061.09602646792,0.6065498464158736,98.92014704898915
63062.01596040164,0.9199339337137644,65.22207497855915
