time,hr_bpm,is_valid,hr_bpm_clean
62864.0,65.3117706069001,True,65.3117706069001
62865.0,65.3117706069001,True,66.9641725633105
62866.0,65.3117706069001,True,67.82734763930696
62867.0,71.92137843254169,True,67.4547533287879
62868.0,71.28004794329281,True,66.21426306032737
62869.0,63.44879905430482,True,65.2697644855535
62870.0,59.10931926459744,True,63.25548239018966
62871.0,60.58927773303073,True,62.427911411574144
62872.0,61.84996795572251,True,62.994244064823306
62873.0,67.1421930502152,True,63.57763318534039
62874.0,66.28046232055067,True,63.836196448330384
62875.0,62.02626486718287,True,64.38721450035834
62876.0,61.88209404798065,True,64.40654405470815
62877.0,64.6050582158623,True,63.92469973678163
62878.0,67.23884082196426,True,64.34760043634746
62879.0,63.87124073091811,True,66.58699904966868
62880.0,64.14076836501204,True,67.24350756006704
62881.0,73.07908711458668,True,66.05989704517535
62882.0,67.88760076785412,True,64.95396045108114
62883.0,61.320788247505746,True,63.32950408532806
62884.0,58.34155776044715,True,61.09526932097606
62885.0,56.01848653624668,True,60.19903842803707
62886.0,61.9079132928266,True,62.08417917687181
62887.0,63.40644630315916,True,65.00559646413085
62888.0,70.74649199167946,True,68.04010808635122
62889.0,72.94864419674235,True,70.10240273398043
62890.0,71.19104464734852,True,70.43143257698026
62891.0,72.2193865309726,True,68.39014217937776
62892.0,65.05159551815835,True,65.72302332766036
62893.0,60.54004000366697,True,64.77572211872719
62894.0,59.61304993815538,True,64.06195902174139
62895.0,66.4545386026826,True,63.712383779651134
62896.0,68.65057104604365,True,63.15210114994293
62897.0,63.30371930770709,True,62.66015122349031
62898.0,57.738626855125915,True,61.13069153346739
62899.0,57.15330030589228,True,59.240951169280414
62900.0,58.80724015256803,True,59.092163113538206
62901.0,59.20186922510872,True,61.177025232401945
62902.0,62.559779028996104,True,62.88367494434091
62903.0,68.1629374494446,True,63.36546697282777
62904.0,65.68654886558708,True,63.46331294445501
62905.0,61.2162002950023,True,63.44085713786709
62906.0,59.69109908324497,True,63.29824410447027
62907.0,62.447499996056465,True,63.17786713005414
62908.0,67.44987228246046,True,63.69704940207248
62909.0,65.08466399350651,True,64.08194787810625
62910.0,63.81211165509398,True,64.17828561413802
62911.0,61.61559146341383,True,64.93842050317387
62912.0,62.92918867621535,True,65.46079528425298
62913.0,71.2505467276397,True,65.00909501987773
62914.0,67.69653789890208,True,64.40140035789739
62915.0,61.55361033321772,True,63.970930618363525
62916.0,58.577118153512096,True,62.37967137695854
62917.0,60.77683997854604,True,60.98055186726974
62918.0,63.294250520614774,True,60.13135295504262
62919.0,60.70094035045809,True,59.62777697956285
62920.0,57.30761577208207,True,58.646613191569124
62921.0,56.05923827611329,True,56.79807660773798
62922.0,55.87102103857737,True,57.054157141269286
62923.0,54.05156760145908,True,59.358411456907575
62924.0,61.98134301811459,True,63.3322308790674
62925.0,68.82888735027355,True,66.28536740313427
62926.0,75.9283353869124,True,68.36144051205058
62927.0,70.63670365891174,True,68.80101403144997
62928.0,64.4319331460406,True,68.58553808085968
62929.0,64.17921061511153,True,66.72882810001337
62930.0,67.75150759732215,True,65.17155447972547
62931.0,66.64478548268083,True,63.71069719453838
62932.0,62.85033555747226,True,62.629745510191505
62933.0,57.12764672010517,True,62.07238192118778
62934.0,58.77445219337711,True,63.458036306111765
62935.0,64.96468965230352,True,65.86641786067045
62936.0,73.57305740730074,True,68.08676978307888
62937.0,74.8922433302658,True,69.51504087310754
62938.0,68.22940633214725,True,70.9276054802859
62939.0,65.9158076435204,True,71.34726728689873
62940.0,72.0275126881953,True,70.18097958690294
62941.0,75.67136644036488,True,69.3329555525183
62942.0,69.06080483028688,True,68.77851818630043
62943.0,63.98928616022402,True,67.21320913045152
62944.0,63.14362081243101,True,65.16451190104485
62945.0,64.20096740895076,True,65.74686932650675
62946.0,65.42788029333158,True,68.9123968040977
62947.0,71.97259195759644,True,71.88407387920121
62948.0,79.81692354817872,True,73.28090790454304
62949.0,78.00200618794854,True,72.7639534422999
