subject,isc_base,isc_med,delta_isc,p_one_sided_med_gt_base,q_fdr_bh,null_delta_mean,null_delta_std,delta_z_vs_null,delta_ci95_low,delta_ci95_high
EmotiBit_1,-0.26892801758063944,0.05939200620957323,0.3283200237902127,0.049475262368815595,0.05772113943028486,0.00809292674675981,0.1877111997914799,1.7059562636602346,-0.03572936831234802,0.6971202852143026
EmotiBit_2,0.007486473118408249,-0.03506269127362366,-0.04254916439203191,0.616191904047976,0.616191904047976,0.0077225478540513745,0.19079842730631896,-0.2634807474873686,-0.43490472878064856,0.3082566448940637
EmotiBit_3,-0.2195790803751847,0.1056730479221021,0.3252521282972868,0.041979010494752625,0.05772113943028486,0.0023214259596276657,0.19974417950937076,1.6167214640790533,-0.08456445807171675,0.6780254733193752
EmotiBit_4,-0.25035647642277004,0.2861764893020994,0.5365329657248694,0.0034982508745627187,0.008162585373979677,0.005990400186716915,0.19962257288601168,2.6577283213412066,0.14147693768175157,0.9142916497777316
EmotiBit_5,-0.26636429079085167,0.32870347927973737,0.5950677700705891,0.0009995002498750624,0.0069965017491254375,0.0017731072502368119,0.20138206090126323,2.94611476397216,0.19831750831847572,0.974895091818279
EmotiBit_6,-0.35556749552453315,0.3147815644139955,0.6703490599385287,0.0029985007496251873,0.008162585373979677,0.008404954346584807,0.2322790284924044,2.849779895706726,0.22330885641545684,1.1334330301608744
EmotiBit_7,-0.21710383184098073,0.2395547631675185,0.45665859500849926,0.020989505247376312,0.03673163418290855,0.004782672326088015,0.22438281034182414,2.0138615876769914,0.03047858768086692,0.8860650373571382
