time,hr_bpm,is_valid
62864.0,,False
62865.0,,False
62866.0,65.3117706069001,True
62867.0,71.92137843254169,True
62868.0,71.28004794329281,True
62869.0,63.44879905430482,True
62870.0,59.10931926459744,True
62871.0,60.58927773303073,True
62872.0,61.84996795572251,True
62873.0,67.1421930502152,True
62874.0,66.28046232055067,True
62875.0,62.02626486718287,True
62876.0,61.88209404798065,True
62877.0,64.6050582158623,True
62878.0,67.23884082196426,True
62879.0,63.87124073091811,True
62880.0,64.14076836501204,True
62881.0,73.07908711458668,True
62882.0,67.88760076785412,True
62883.0,61.320788247505746,True
62884.0,58.34155776044715,True
62885.0,56.01848653624668,True
62886.0,61.9079132928266,True
62887.0,63.40644630315916,True
62888.0,70.74649199167946,True
62889.0,72.94864419674235,True
62890.0,71.19104464734852,True
62891.0,72.2193865309726,True
62892.0,65.05159551815835,True
62893.0,60.54004000366697,True
62894.0,59.61304993815538,True
62895.0,66.4545386026826,True
62896.0,68.65057104604365,True
62897.0,63.303719307707084,True
62898.0,57.738626855125915,True
62899.0,57.15330030589228,True
62900.0,58.80724015256803,True
62901.0,59.20186922510872,True
62902.0,62.559779028996104,True
62903.0,68.1629374494446,True
62904.0,65.68654886558708,True
62905.0,61.2162002950023,True
62906.0,59.69109908324497,True
62907.0,62.447499996056465,True
62908.0,67.44987228246046,True
62909.0,65.08466399350651,True
62910.0,63.81211165509398,True
62911.0,61.61559146341383,True
62912.0,62.92918867621535,True
62913.0,71.2505467276397,True
62914.0,67.69653789890208,True
62915.0,61.55361033321772,True
62916.0,58.577118153512096,True
62917.0,60.77683997854604,True
62918.0,63.294250520614774,True
62919.0,60.70094035045809,True
62920.0,57.30761577208207,True
62921.0,56.05923827611329,True
62922.0,55.87102103857737,True
62923.0,54.05156760145908,True
62924.0,61.98134301811459,True
62925.0,68.82888735027355,True
62926.0,75.9283353869124,True
62927.0,70.63670365891174,True
62928.0,64.4319331460406,True
62929.0,64.17921061511153,True
62930.0,67.75150759732215,True
62931.0,66.64478548268083,True
62932.0,62.85033555747226,True
62933.0,57.12764672010517,True
62934.0,58.77445219337711,True
62935.0,64.96468965230352,True
62936.0,73.57305740730074,True
62937.0,74.8922433302658,True
62938.0,68.22940633214725,True
62939.0,65.9158076435204,True
62940.0,72.0275126881953,True
62941.0,75.67136644036488,True
62942.0,69.06080483028688,True
62943.0,63.98928616022402,True
62944.0,63.14362081243101,True
62945.0,64.20096740895076,True
62946.0,65.42788029333158,True
62947.0,71.97259195759644,True
62948.0,79.81692354817872,True
62949.0,78.00200618794854,True
62950.0,71.1851375356599,True
62951.0,62.843107982115825,True
62952.0,58.97848825460851,True
62953.0,57.87294700505622,True
62954.0,58.7526652056034,True
62955.0,58.69054230612383,True
62956.0,58.91451490735264,True
62957.0,62.596076876242286,True
62958.0,71.39311627520419,True
62959.0,77.98570029758017,True
62960.0,77.77635459882696,True
62961.0,72.2445063559296,True
62962.0,66.52272402627393,True
62963.0,63.61273401600884,True
62964.0,59.41810089522227,True
62965.0,55.704423888101296,True
62966.0,55.794572971402545,True
62967.0,57.873802383723735,True
62968.0,60.992144612733355,True
62969.0,63.805607887534045,True
62970.0,72.52148696125003,True
62971.0,79.6545102111037,True
62972.0,77.02782308233019,True
62973.0,70.16129459913795,True
62974.0,62.614925520244206,True
62975.0,59.06157158112737,True
62976.0,58.9652801643376,True
62977.0,58.68616709166762,True
62978.0,58.570976277377675,True
62979.0,59.140237630061876,True
62980.0,60.077074163836734,True
62981.0,61.33249979838277,True
62982.0,62.24570090875008,True
62983.0,64.39180031955283,True
62984.0,72.2414178440683,True
62985.0,76.0730693312734,True
62986.0,75.36604680262627,True
62987.0,67.71954752942099,True
62988.0,61.356240674715515,True
62989.0,57.911783846908335,True
62990.0,55.371811031635715,True
62991.0,54.71132737618758,True
62992.0,53.56929033612818,True
62993.0,49.801695322629314,True
62994.0,57.18218432079075,True
62995.0,58.85779107857007,True
62996.0,62.929825743111536,True
62997.0,70.5474648931833,True
62998.0,73.56563852310694,True
62999.0,72.28378279259228,True
63000.0,70.01495123158556,True
63001.0,65.48836751233725,True
