LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TX
1032478.926423,1032478.926421,1760462408.739217,89733,11747,4,TX,1,100,LC,1032478.7273419,LM,1032478.7273435
1032479.901496,1032479.901494,1760462409.714293,90708,11894,4,TX,1,100,LC,1032479.7324115,LM,1032479.7324074
1032480.888569,1032480.888568,1760462410.701369,91695,12053,4,TX,1,100,LC,1032480.7374768,LM,1032480.7374727
1032481.895645,1032481.895643,1760462411.708447,92702,12215,4,TX,1,100,LC,1032481.7388259,LM,1032481.7388304
1032482.902720,1032482.902718,1760462412.715524,93709,12382,4,TX,1,100,LC,1032482.7401159,LM,1032482.7401203
1032483.764784,1032483.764783,1760462413.577591,94571,12513,4,TX,1,100,LC,1032483.7420887,LM,1032483.7420845
1032484.937872,1032484.937870,1760462414.750681,95744,12703,4,TX,1,100,LC,1032484.7430714,LM,1032484.7430672
1032508.951668,1032508.951666,1760462438.764536,119756,16496,4,TX,1,100,LC,1032508.8368638,LM,1032508.8368612
1032509.951743,1032509.951741,1760462439.764613,120756,16659,4,TX,1,100,LC,1032509.8418109,LM,1032509.8418148
1032510.926816,1032510.926814,1760462440.739688,121731,16806,4,TX,1,100,LC,1032510.8438057,LM,1032510.8438097
1032511.935891,1032511.935889,1760462441.748766,122740,16970,4,TX,1,100,LC,1032511.8488829,LM,1032511.8488872
1032512.937966,1032512.937964,1760462442.750844,123742,17130,4,TX,1,100,LC,1032512.8539451,LM,1032512.8539493
1032513.946041,1032513.946039,1760462443.758921,124750,17298,4,TX,1,100,LC,1032513.8576121,LM,1032513.8576129
1032514.902113,1032514.902111,1760462444.714995,125706,17445,4,TX,1,100,LC,1032514.8626793,LM,1032514.8626800
1032515.978193,1032515.978191,1760462445.791078,126782,17623,4,TX,1,100,LC,1032515.8667953,LM,1032515.8667918
1032516.951266,1032516.951264,1760462446.764153,127755,17768,4,TX,1,100,LC,1032516.8716772,LM,1032516.8716738
1032539.239933,1032539.239931,1760462469.052874,150042,21281,4,TX,1,100,LC,1032538.9522356,LM,1032538.9522286
1032540.253009,1032540.253006,1760462470.065953,151055,21443,4,TX,1,100,LC,1032539.9563831,LM,1032539.9563859
1032541.225081,1032541.225079,1760462471.038028,152027,21590,4,TX,1,100,LC,1032540.9614421,LM,1032540.9614450
1032542.232157,1032542.232154,1760462472.045105,153034,21755,4,TX,1,100,LC,1032541.9665024,LM,1032541.9665059
1032543.231231,1032543.231229,1760462473.044183,154033,21919,4,TX,1,100,LC,1032542.9675978,LM,1032542.9676013
1032544.233306,1032544.233304,1760462474.046260,155035,22089,4,TX,1,100,LC,1032543.9726864,LM,1032543.9726876
1032545.045367,1032545.045365,1760462474.858323,155847,22221,4,TX,1,100,LC,1032544.9777776,LM,1032544.9777788
1032546.247457,1032546.247455,1760462476.060416,157049,22415,4,TX,1,100,LC,1032545.9828619,LM,1032545.9828671
1032547.266533,1032547.266531,1760462477.079494,158068,22578,4,TX,1,100,LC,1032546.9879424,LM,1032546.9879475
1032548.285609,1032548.285607,1760462478.098573,159087,22740,4,TX,1,100,LC,1032547.9930271,LM,1032547.9930264
1032549.257682,1032549.257680,1760462479.070648,160059,22890,4,TX,1,100,LC,1032548.9980892,LM,1032548.9980885
1032550.256757,1032550.256754,1760462480.069725,161058,23052,4,TX,1,100,LC,1032550.0031506,LM,1032550.0031555
1032551.280833,1032551.280831,1760462481.093804,162082,23215,4,TX,1,100,LC,1032551.0082152,LM,1032551.0082201
1032552.266907,1032552.266905,1760462482.079880,163068,23372,4,TX,1,100,LC,1032552.0132984,LM,1032552.0132943
1032553.283983,1032553.283981,1760462483.096959,164085,23539,4,TX,1,100,LC,1032553.0183869,LM,1032553.0183828
1032554.305060,1032554.305057,1760462484.118038,165106,23705,4,TX,1,100,LC,1032554.0188731,LM,1032554.0188757
1032555.281133,1032555.281130,1760462485.094113,166082,23852,4,TX,1,100,LC,1032555.0237555,LM,1032555.0237580
1032556.286208,1032556.286205,1760462486.099191,167087,24015,4,TX,1,100,LC,1032556.0288415,LM,1032556.0288378
1032557.293283,1032557.293281,1760462487.106268,168094,24178,4,TX,1,100,LC,1032557.0330384,LM,1032557.0330348
1032558.092343,1032558.092340,1760462487.905330,168893,24307,4,TX,1,100,LC,1032558.0381281,LM,1032558.0381218
1032559.299433,1032559.299431,1760462489.112423,170100,24512,4,TX,1,100,LC,1032559.0432268,LM,1032559.0432205
1032560.325510,1032560.325507,1760462490.138503,171126,24679,4,TX,1,100,LC,1032560.0472399,LM,1032560.0472418
1032561.338586,1032561.338583,1760462491.151581,172139,24841,4,TX,1,100,LC,1032561.0496640,LM,1032561.0496659
1032562.307658,1032562.307656,1760462492.120656,173108,24991,4,TX,1,100,LC,1032562.0547192,LM,1032562.0547306
1032563.311733,1032563.311731,1760462493.124733,174112,25156,4,TX,1,100,LC,1032563.0552150,LM,1032563.0552264
1032564.335810,1032564.335807,1760462494.148812,175136,25323,4,TX,1,100,LC,1032564.0553636,LM,1032564.0553709
1032565.361886,1032565.361884,1760462495.174891,176162,25487,4,TX,1,100,LC,1032565.0589004,LM,1032565.0589077
1032566.320958,1032566.320956,1760462496.133965,177121,25637,4,TX,1,100,LC,1032566.0631901,LM,1032566.0631955
1032567.327033,1032567.327031,1760462497.140043,178127,25802,4,TX,1,100,LC,1032567.0682716,LM,1032567.0682769
1032568.327108,1032568.327106,1760462498.140121,179127,25969,4,TX,1,100,LC,1032568.0728227,LM,1032568.0728195
