LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LM
1032478.773411,1032478.773410,1760462408.586205,89580,11717,8,LM,1,100,LR,1032478.7273419,LM,1032478.7273435,LC,1032478.7430342,LD,sync
1032479.753484,1032479.753483,1760462409.566281,90560,11877,8,LM,1,100,LR,1032479.7324115,LM,1032479.7324074,LC,1032479.7425858,LD,sync
1032480.774561,1032480.774559,1760462410.587360,91581,12036,8,LM,1,100,LR,1032480.7374768,LM,1032480.7374727,LC,1032480.7425769,LD,sync
1032481.782636,1032481.782635,1760462411.595438,92589,12199,8,LM,1,100,LR,1032481.7388259,LM,1032481.7388304,LC,1032481.7425048,LD,sync
1032482.753709,1032482.753707,1760462412.566513,93560,12348,8,LM,1,100,LR,1032482.7401159,LM,1032482.7401203,LC,1032482.7426288,LD,sync
1032483.754784,1032483.754782,1760462413.567590,94561,12512,8,LM,1,100,LR,1032483.7420887,LM,1032483.7420845,LC,1032483.7425675,LD,sync
1032484.752858,1032484.752857,1760462414.565667,95559,12671,8,LM,1,100,LR,1032484.7430714,LM,1032484.7430672,LC,1032484.7435373,LD,sync
1032508.854661,1032508.854659,1760462438.667528,119659,16480,8,LM,1,100,LR,1032508.8368638,LM,1032508.8368612,LC,1032508.8425230,LD,sync
1032509.856736,1032509.856734,1760462439.669605,120661,16642,8,LM,1,100,LR,1032509.8418109,LM,1032509.8418148,LC,1032509.8430898,LD,sync
1032510.897813,1032510.897812,1760462440.710686,121702,16805,8,LM,1,100,LR,1032510.8438057,LM,1032510.8438097,LC,1032510.8768435,LD,sync
1032511.900888,1032511.900887,1760462441.713763,122705,16969,8,LM,1,100,LR,1032511.8488829,LM,1032511.8488872,LC,1032511.8768250,LD,sync
1032512.914964,1032512.914962,1760462442.727842,123719,17129,8,LM,1,100,LR,1032512.8539451,LM,1032512.8539493,LC,1032512.8759930,LD,sync
1032513.887037,1032513.887035,1760462443.699917,124691,17281,8,LM,1,100,LR,1032513.8576121,LM,1032513.8576129,LC,1032513.8759479,LD,sync
1032514.895112,1032514.895110,1760462444.707994,125699,17444,8,LM,1,100,LR,1032514.8626793,LM,1032514.8626800,LC,1032514.8768968,LD,sync
1032515.886187,1032515.886185,1760462445.699071,126690,17606,8,LM,1,100,LR,1032515.8667953,LM,1032515.8667918,LC,1032515.8758389,LD,sync
1032516.894262,1032516.894260,1760462446.707149,127698,17766,8,LM,1,100,LR,1032516.8716772,LM,1032516.8716738,LC,1032516.8759618,LD,sync
1032539.043918,1032539.043916,1760462468.856859,149846,21248,8,LM,1,100,LR,1032538.9522356,LM,1032538.9522286,LC,1032538.9759139,LD,sync
1032539.986989,1032539.986987,1760462469.799932,150789,21396,8,LM,1,100,LR,1032539.9563831,LM,1032539.9563859,LC,1032539.9759199,LD,sync
1032540.988064,1032540.988061,1760462470.801009,151790,21557,8,LM,1,100,LR,1032540.9614421,LM,1032540.9614450,LC,1032540.9768026,LD,sync
1032541.999139,1032541.999137,1760462471.812088,152801,21721,8,LM,1,100,LR,1032541.9665024,LM,1032541.9665059,LC,1032541.9760703,LD,sync
1032543.016215,1032543.016213,1760462472.829166,153818,21884,8,LM,1,100,LR,1032542.9675978,LM,1032542.9676013,LC,1032542.9762295,LD,sync
1032544.017290,1032544.017288,1760462473.830243,154819,22055,8,LM,1,100,LR,1032543.9726864,LM,1032543.9726876,LC,1032543.9768118,LD,sync
1032545.034366,1032545.034364,1760462474.847322,155836,22220,8,LM,1,100,LR,1032544.9777776,LM,1032544.9777788,LC,1032545.0092322,LD,sync
1032546.046442,1032546.046440,1760462475.859400,156848,22383,8,LM,1,100,LR,1032545.9828619,LM,1032545.9828671,LC,1032546.0092199,LD,sync
1032547.067518,1032547.067516,1760462476.880479,157869,22545,8,LM,1,100,LR,1032546.9879424,LM,1032546.9879475,LC,1032547.0101242,LD,sync
1032548.018589,1032548.018587,1760462477.831552,158820,22691,8,LM,1,100,LR,1032547.9930271,LM,1032547.9930264,LC,1032548.0091765,LD,sync
1032549.019664,1032549.019662,1760462478.832629,159821,22857,8,LM,1,100,LR,1032548.9980892,LM,1032548.9980885,LC,1032549.0092437,LD,sync
1032550.033740,1032550.033738,1760462479.846708,160835,23019,8,LM,1,100,LR,1032550.0031506,LM,1032550.0031555,LC,1032550.0092468,LD,sync
1032551.047816,1032551.047814,1760462480.860786,161849,23181,8,LM,1,100,LR,1032551.0082152,LM,1032551.0082201,LC,1032551.0101631,LD,sync
1032552.066892,1032552.066890,1760462481.879865,162868,23340,8,LM,1,100,LR,1032552.0132984,LM,1032552.0132943,LC,1032552.0426120,LD,sync
1032553.081968,1032553.081966,1760462482.894943,163883,23500,8,LM,1,100,LR,1032553.0183869,LM,1032553.0183828,LC,1032553.0426476,LD,sync
1032554.055041,1032554.055038,1760462483.868018,164856,23657,8,LM,1,100,LR,1032554.0188731,LM,1032554.0188757,LC,1032554.0429260,LD,sync
1032555.056116,1032555.056113,1760462484.869096,165857,23820,8,LM,1,100,LR,1032555.0237555,LM,1032555.0237580,LC,1032555.0434418,LD,sync
1032556.057191,1032556.057188,1760462485.870173,166858,23981,8,LM,1,100,LR,1032556.0288415,LM,1032556.0288378,LC,1032556.0429085,LD,sync
1032557.066266,1032557.066264,1760462486.879251,167867,24143,8,LM,1,100,LR,1032557.0330384,LM,1032557.0330348,LC,1032557.0426045,LD,sync
