LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1032479.249447,1032479.249445,1760462409.062242,90056.000,11797,1,HR,1,100,103.92
1032480.839566,1032480.839564,1760462410.652365,91646.000,12056,1,HR,1,100,89.26
1032482.948723,1032482.948722,1760462412.761528,93755.000,12385,1,HR,1,100,75.78
1032486.161964,1032486.161962,1760462415.974776,96968.000,12896,1,HR,1,100,63.12
1032486.649000,1032486.648998,1760462416.461813,97455.000,12976,1,HR,1,100,76.87
1032487.166039,1032487.166037,1760462416.978853,97972.000,13055,1,HR,1,100,85.43
1032487.765084,1032487.765082,1760462417.577900,98571.000,13151,1,HR,1,100,89.04
1032488.209117,1032488.209115,1760462418.021934,99015.000,13215,1,HR,1,100,99.56
1032489.412207,1032489.412205,1760462419.225027,100218.000,13408,1,HR,1,100,88.55
1032490.015252,1032490.015250,1760462419.828074,100821.000,13505,1,HR,1,100,91.09
1032491.068331,1032491.068329,1760462420.881155,101874.000,13665,1,HR,1,100,83.55
1032491.585369,1032491.585368,1760462421.398195,102391.000,13747,1,HR,1,100,91.12
1032492.125410,1032492.125408,1760462421.938236,102931.000,13844,1,HR,1,100,95.57
1032492.642448,1032492.642447,1760462422.455276,103448.000,13924,1,HR,1,100,100.47
1032493.215491,1032493.215489,1760462423.028321,104021.000,14024,1,HR,1,100,101.54
1032493.802535,1032493.802533,1760462423.615366,104608.000,14104,1,HR,1,100,101.96
1032494.375578,1032494.375576,1760462424.188410,105181.000,14201,1,HR,1,100,102.70
1032494.935620,1032494.935618,1760462424.748453,105741.000,14299,1,HR,1,100,103.68
1032495.501662,1032495.501660,1760462425.314497,106307.000,14379,1,HR,1,100,104.45
1032496.085706,1032496.085704,1760462425.898542,106891.000,14477,1,HR,1,100,104.23
1032496.685751,1032496.685749,1760462426.498589,107491.000,14573,1,HR,1,100,103.29
1032497.278795,1032497.278793,1760462427.091634,108084.000,14668,1,HR,1,100,103.32
1032497.881840,1032497.881838,1760462427.694681,108687.000,14764,1,HR,1,100,102.59
1032498.301872,1032498.301870,1760462428.114713,109107.000,14830,1,HR,1,100,111.54
1032498.934919,1032498.934917,1760462428.747762,109740.000,14927,1,HR,1,100,107.91
1032499.491961,1032499.491959,1760462429.304805,110297.000,15009,1,HR,1,100,108.18
1032499.988998,1032499.988996,1760462429.801844,110794.000,15089,1,HR,1,100,110.80
1032500.522038,1032500.522036,1760462430.334885,111327.000,15184,1,HR,1,100,111.34
1032501.068078,1032501.068077,1760462430.880927,111873.000,15264,1,HR,1,100,111.29
1032501.658123,1032501.658121,1760462431.470972,112463.000,15360,1,HR,1,100,109.16
1032502.262168,1032502.262166,1760462432.075019,113067.000,15455,1,HR,1,100,107.12
1032502.808209,1032502.808207,1760462432.621061,113613.000,15534,1,HR,1,100,108.01
1032503.402253,1032503.402251,1760462433.215107,114207.000,15632,1,HR,1,100,106.60
1032503.958295,1032503.958293,1760462433.771150,114763.000,15713,1,HR,1,100,107.16
1032504.571340,1032504.571338,1760462434.384197,115376.000,15807,1,HR,1,100,105.20
1032505.185386,1032505.185384,1760462434.998245,115990.000,15903,1,HR,1,100,103.68
1032505.811433,1032505.811431,1760462435.624293,116616.000,16013,1,HR,1,100,102.15
1032506.191462,1032506.191460,1760462436.004323,116996.000,16078,1,HR,1,100,114.54
1032506.728502,1032506.728500,1760462436.541364,117533.000,16158,1,HR,1,100,114.24
1032507.321546,1032507.321544,1760462437.134410,118126.000,16254,1,HR,1,100,111.45
1032507.958594,1032507.958592,1760462437.771459,118763.000,16350,1,HR,1,100,107.85
1032508.354623,1032508.354621,1760462438.167490,119159.000,16402,1,HR,1,100,117.22
1032508.944667,1032508.944665,1760462438.757535,119749.000,16500,1,HR,1,100,114.16
1032509.558713,1032509.558711,1760462439.371583,120363.000,16595,1,HR,1,100,110.65
1032510.084753,1032510.084751,1760462439.897623,120889.000,16678,1,HR,1,100,111.22
1032510.668796,1032510.668794,1760462440.481668,121473.000,16773,1,HR,1,100,109.49
1032511.187835,1032511.187833,1760462441.000708,121992.000,16856,1,HR,1,100,110.80
1032511.821883,1032511.821881,1760462441.634757,122626.000,16952,1,HR,1,100,107.34
