LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1032479.599473,1032479.599471,1760462409.412269,90406.000,11872,3,GY,1,100,-33.569
1032479.639476,1032479.639474,1760462409.452272,90446.000,11872,3,GY,1,100,-9.583
1032479.679479,1032479.679477,1760462409.492275,90486.000,11872,3,GY,1,100,3.723
1032479.719482,1032479.719480,1760462409.532278,90526.000,11889,2,GY,1,100,-8.942
1032479.759485,1032479.759483,1760462409.572281,90566.000,11889,2,GY,1,100,-8.575
1032479.803822,1032479.803820,1760462409.616618,90610.333,11907,3,GY,1,100,-1.526
1032479.848158,1032479.848157,1760462409.660955,90654.667,11907,3,GY,1,100,-5.219
1032479.892495,1032479.892493,1760462409.705292,90699.000,11907,3,GY,1,100,0.854
1032479.932498,1032479.932496,1760462409.745295,90739.000,11923,3,GY,1,100,11.230
1032479.972501,1032479.972499,1760462409.785298,90779.000,11923,3,GY,1,100,9.186
1032480.012504,1032480.012502,1760462409.825301,90819.000,11923,3,GY,1,100,18.005
1032480.052507,1032480.052505,1760462409.865304,90859.000,11938,2,GY,1,100,26.337
1032480.092510,1032480.092508,1760462409.905307,90899.000,11938,2,GY,1,100,27.466
1032480.132513,1032480.132511,1760462409.945310,90939.000,11954,3,GY,1,100,20.538
1032480.172516,1032480.172514,1760462409.985313,90979.000,11954,3,GY,1,100,6.653
